date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:05	224628/224628	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2236d74-531085e3b5780%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/icomoon.eot?1oniuf	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/icomoon6029.eot	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/plugins.css)
22:57:09	224464/224464	---M--	200	added ('OK')	application/font-sfnt	etag:%2236cd0-531085e1cd300%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/icomoon.ttf?1oniuf	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/icomoon6029.ttf	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/plugins.css)
22:57:09	224540/224540	---M--	200	added ('OK')	application/font-woff	etag:%2236d1c-531085e3b5780%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/icomoon.woff?1oniuf	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/icomoon6029.woff	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/plugins.css)
22:57:13	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-4fa171e09e780%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/themify.eot?-fvbane	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/themify9f24.eot	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/plugins.css)
22:57:14	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-4fa171e09e780%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/themify.eot?	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/themifyd41d.eot	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/plugins.css)
22:57:14	788508/788508	---M--	200	added ('OK')	image/svg+xml	etag:%22c081c-531085e3b5780%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/icomoon.svg?1oniuf	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/icomoon6029.svg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/plugins.css)
22:57:16	56108/56108	---M--	200	added ('OK')	application/font-woff	etag:%22db2c-4fa171e09e780%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/themify.woff?-fvbane	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/themify9f24.woff	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/plugins.css)
22:57:16	78584/78584	---M--	200	added ('OK')	application/font-sfnt	etag:%22132f8-4fa171e09e780%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/themify.ttf?-fvbane	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/themify9f24.ttf	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/plugins.css)
22:57:17	16152/16152	---M--	200	added ('OK')	text/html	etag:%223f18-52bbb46aa5500%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/OpenSans-Light.woff2	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/OpenSans-Light.html	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/style.css)
22:57:17	15572/15572	---M--	200	added ('OK')	text/html	etag:%223cd4-52bbb47bcfd80%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/OpenSans.woff2	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/OpenSans.html	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/style.css)
